Car_ID,Component,Mileage,Car_Age,Part_Age,Temp_Exposure,Service_Count,Driving_Style,Failed_Next_30_Days
1,Brakes,39184,1.4,291,27.3,2,Conservative,No
2,Engine,187392,11.4,568,22.6,6,Aggressive,Yes
3,Engine,70990,8.1,37,36.8,10,Conservative,Yes
4,Engine,127757,9.2,838,46.1,2,Conservative,Yes
5,Battery,50758,4.0,791,30.1,1,Moderate,Yes
6,Battery,168263,4.7,54,41.9,8,Aggressive,Yes
7,Battery,30656,8.7,859,38.9,5,Conservative,Yes
8,Engine,22012,10.3,801,28.7,1,Aggressive,Yes
9,Battery,82869,7.3,864,30.9,5,Moderate,Yes
10,Battery,193977,14.1,673,22.1,10,Aggressive,Yes
11,Engine,52834,7.5,286,49.7,10,Conservative,Yes
12,Brakes,95008,12.8,804,21.7,0,Moderate,Yes
13,Engine,65307,13.8,590,46.3,5,Aggressive,Yes
14,Battery,178519,7.4,281,24.2,8,Conservative,Yes
15,Brakes,122311,13.6,418,30.9,2,Conservative,Yes
16,Engine,38743,3.1,173,43.8,6,Conservative,Yes
17,Battery,166208,14.9,551,27.5,8,Aggressive,Yes
18,Engine,188706,13.4,778,28.0,10,Moderate,Yes
19,Battery,51460,7.4,986,41.7,4,Conservative,Yes
20,Brakes,37894,13.2,315,45.3,8,Conservative,Yes
21,Battery,52349,8.6,807,47.7,0,Conservative,Yes
22,Engine,39325,14.0,909,49.6,4,Aggressive,Yes
23,Brakes,30645,2.2,507,44.5,8,Aggressive,Yes
24,Battery,154127,3.3,550,46.2,6,Aggressive,Yes
25,Brakes,190844,3.8,329,32.0,10,Conservative,Yes
26,Brakes,128354,2.7,240,21.9,0,Conservative,No
27,Brakes,67728,1.1,734,38.9,3,Aggressive,Yes
28,Battery,28574,8.2,295,40.1,3,Conservative,Yes
29,Brakes,161050,7.6,813,34.2,6,Aggressive,Yes
30,Brakes,122997,6.0,430,34.0,0,Conservative,Yes
31,Brakes,35799,1.8,755,30.2,1,Aggressive,Yes
32,Brakes,127601,3.0,197,28.4,3,Aggressive,Yes
33,Brakes,35666,1.7,563,45.1,1,Aggressive,Yes
34,Battery,136185,4.0,420,47.1,2,Moderate,Yes
35,Battery,79521,14.0,813,33.7,6,Conservative,Yes
36,Brakes,183505,11.1,168,25.7,3,Aggressive,Yes
37,Brakes,25979,11.5,68,21.5,7,Conservative,No
38,Brakes,51270,1.8,530,22.4,2,Aggressive,No
39,Brakes,27815,10.5,250,32.1,9,Aggressive,Yes
40,Engine,172367,2.1,683,37.5,8,Moderate,Yes
41,Engine,185564,11.0,254,28.0,2,Conservative,Yes
42,Battery,92883,14.0,968,22.2,7,Conservative,Yes
43,Engine,29204,8.5,528,28.0,5,Aggressive,No
44,Battery,84707,3.2,863,36.3,4,Conservative,Yes
45,Brakes,148658,1.1,846,36.6,10,Aggressive,Yes
46,Engine,79328,2.6,119,42.3,2,Moderate,Yes
47,Engine,198117,5.8,713,39.0,4,Conservative,Yes
48,Engine,34195,9.9,859,28.3,0,Moderate,Yes
49,Brakes,78670,3.3,462,36.6,6,Conservative,Yes
50,Engine,191146,13.7,568,21.1,5,Conservative,Yes
51,Battery,43409,1.6,383,47.0,0,Moderate,Yes
52,Engine,184832,2.4,808,36.8,6,Conservative,Yes
53,Engine,52598,14.7,840,25.3,6,Aggressive,Yes
54,Battery,117928,12.2,894,42.1,3,Moderate,Yes
55,Brakes,38336,6.4,49,45.8,3,Aggressive,Yes
56,Battery,101660,5.3,824,46.1,3,Aggressive,Yes
57,Battery,96051,4.9,81,49.0,4,Moderate,Yes
58,Battery,188131,14.7,559,29.9,0,Aggressive,Yes
59,Battery,56810,9.1,281,21.1,9,Moderate,No
60,Battery,124398,9.5,533,23.5,9,Aggressive,Yes
61,Brakes,124309,1.0,957,44.2,10,Conservative,Yes
62,Brakes,185801,3.8,451,22.1,10,Moderate,Yes
63,Brakes,42669,11.1,317,35.2,10,Moderate,Yes
64,Brakes,87504,8.8,206,32.6,6,Conservative,Yes
65,Engine,171353,9.0,425,36.4,0,Moderate,Yes
66,Battery,162039,9.5,339,33.9,7,Conservative,Yes
67,Battery,54483,10.2,300,35.5,10,Conservative,Yes
68,Engine,186369,5.3,835,26.0,0,Aggressive,Yes
69,Battery,170241,12.9,84,33.7,10,Conservative,Yes
70,Brakes,110657,7.9,259,24.4,0,Aggressive,Yes
71,Engine,56107,12.3,722,35.5,0,Conservative,Yes
72,Engine,129658,2.9,485,40.0,8,Conservative,Yes
73,Battery,170603,12.4,923,35.1,8,Moderate,Yes
74,Brakes,134433,7.3,779,27.4,10,Moderate,Yes
75,Brakes,137034,9.8,291,33.2,4,Aggressive,Yes
76,Battery,151597,2.1,164,26.9,2,Conservative,Yes
77,Battery,116849,5.6,487,32.5,3,Moderate,Yes
78,Brakes,192327,1.3,911,43.0,6,Moderate,Yes
79,Battery,88279,11.5,883,46.7,6,Conservative,Yes
80,Brakes,168139,13.6,509,26.6,6,Moderate,Yes
81,Battery,185341,10.5,424,41.7,7,Aggressive,Yes
82,Brakes,17069,13.7,616,36.9,0,Aggressive,Yes
83,Engine,131031,3.5,276,31.4,3,Moderate,Yes
84,Battery,82943,11.5,861,32.6,1,Moderate,Yes
85,Brakes,23653,15.0,368,26.7,1,Conservative,Yes
86,Engine,74823,3.8,30,38.6,3,Aggressive,Yes
87,Engine,157841,14.3,486,41.0,5,Aggressive,Yes
88,Brakes,198313,2.6,848,24.9,4,Aggressive,Yes
89,Battery,160941,10.5,991,31.3,3,Aggressive,Yes
90,Brakes,73661,2.4,801,29.0,10,Conservative,No
